date,USDT_price,USDT_supply,BTC_price
2018-09-29,0.9996024027,2806421736.0,6601.9553879
2018-09-30,0.9992983413000001,2806421736.0,6627.99449465
2018-10-01,0.9974998097000001,2806421736.0,6587.61149413
2018-10-02,0.999741148,2806421736.0,6556.09866089
2018-10-03,0.9981222323000001,2806421736.0,6502.59044747
2018-10-04,0.9965098865,2806421736.0,6576.20339269
2018-10-05,0.9957781234,2806421736.0,6622.48483682
2018-10-06,0.9972153585,2806421736.0,6589.05284411
2018-10-07,0.9966167717000001,2806421736.0,6602.94525849
2018-10-08,0.9958136185,2806421736.0,6652.22623715
2018-10-09,0.9966879711000001,2739616180.4444447,6640.64745929
2018-10-10,0.9933710729,2706421736.0,6585.17755768
2018-10-11,0.9975288935000001,2706421736.0,6249.09003203
2018-10-12,0.9939100366,2706421736.0,6273.19669603
2018-10-13,0.9884694659000001,2706421736.0,6289.0009018
2018-10-14,0.9904949847000001,2586977291.5555553,6292.23246896
2018-10-15,0.9807541021,2506421736.0,6605.26103468
2018-10-16,0.9748202728,2341074513.7777777,6600.67720695
2018-10-17,0.9712319662000001,2231491180.4444447,6546.16332001
2018-10-18,0.9802196086,2199755069.3333335,6474.64724903
2018-10-19,0.9891815770000001,2118782847.1111112,6466.010535
2018-10-20,0.9833349113000001,2076421736.0,6489.46975308
2018-10-21,0.9831681579,2076421736.0,6482.34812955
2018-10-22,0.9842174307,2076421736.0,6491.98212347
2018-10-23,0.9861676552,2063227291.5555556,6475.72971532
2018-10-24,0.9888750297000001,2046560624.8888888,6495.42836241
2018-10-25,0.9887905254,1969875774.9972146,6481.17082835
2018-10-26,0.9897890890000001,1926421736.0,6477.84565348
2018-10-27,0.996283278,1926421736.0,6480.28670898
2018-10-28,0.9984528135,1926421736.0,6486.38627137
2018-10-29,0.9955020469,1926421736.0,6332.78870464
2018-10-30,0.9985829939,1859662347.961057,6334.7409058
2018-10-31,0.9882422302,1814616180.4444444,6317.75009974
2018-11-01,0.9916785912,1776838402.6666667,6375.52621667
2018-11-02,0.9932436254,1776421736.0,6390.638615
2018-11-03,0.9995264244000001,1776421736.0,6361.25774213
2018-11-04,0.9887080808,1776421736.0,6376.12939278
2018-11-05,0.9925220886,1776421736.0,6427.46426537
2018-11-06,0.9906383759,1776421736.0,6455.27908945
2018-11-07,0.9928474218000001,1776421736.0,6520.93366356
2018-11-08,0.9959833826000001,1776421736.0,6457.20299168
2018-11-09,0.9946446046,1776421736.0,6387.24987785
2018-11-10,0.9965929023000001,1776421736.0,6407.74044747
2018-11-11,0.9906634201000001,1758921736.0,6408.83301083
2018-11-12,0.9869665862,1772223686.7541666,6373.10496784
2018-11-13,0.9841660419,1706421736.0,6357.23195512
2018-11-14,0.9719422817000001,1706421736.0,5722.33950975
2018-11-15,0.9793699594,1706421736.0,5645.59292107
2018-11-16,0.9857392672,1706421736.0,5574.75499615
2018-11-17,0.9851754397,1723806993.301808,5554.80989136
2018-11-18,0.9927419038,1756421736.0,5622.02160278
2018-11-19,0.9833173573,1756421736.0,4875.14239003
2018-11-20,0.9711347869,1787741180.4444444,4415.07400339
2018-11-21,0.98750431,1806421736.0,4602.16771504
2018-11-22,0.9939820155,1806421736.0,4368.73234691
2018-11-23,0.9827437353,1806421736.0,4346.01843265
2018-11-24,0.9818113270000001,1806421736.0,3883.35938868
2018-11-25,0.9808775735,1818227291.5555556,4015.13130391
2018-11-26,0.9759997632,1856421736.0,3775.08662841
2018-11-27,0.9846770861,1856421736.0,3813.57141959
2018-11-28,1.0006249244,1856421736.0,4260.82825547
2018-11-29,0.9968922424000001,1856421736.0,4274.74204089
2018-11-30,0.9916011513,1856421736.0,4016.44911794
2018-12-01,1.0044999817,1856421736.0,4215.68477834
2018-12-02,0.9985008679,1856421736.0,4138.38283552
2018-12-03,0.9965938129349999,1856421735.790155,3892.75933911
2018-12-04,0.9995975659649999,1856421735.6243057,3996.74820738
2018-12-05,0.9935908535419999,1856421735.6242983,3753.99482663
2018-12-06,0.998497867714,1856421735.6243129,3521.10172384
2018-12-07,1.00143121687,1856421735.6243129,3419.93720035
2018-12-08,1.01724922682,1856421735.6243129,3476.11471452
2018-12-09,1.01477884329,1856421735.6243129,3616.21025798
2018-12-10,1.01647575251,1856421735.6243129,3505.47968254
2018-12-11,1.00968798476,1856421735.6243129,3423.51948812
2018-12-12,1.00868018435,1856421735.6243129,3481.23667359
2018-12-13,1.0034254963,1856421735.6243129,3312.00352486
2018-12-14,1.00202068132,1856421735.6243129,3242.19413359
2018-12-15,1.00521207544,1856421735.6243129,3237.05708474
2018-12-16,1.00645374993,1856421735.6243129,3255.22013802
2018-12-17,1.01030534085,1856421735.6243129,3545.35139009
2018-12-18,1.01223092422,1856421735.6243129,3695.4306338
